id,name,adm1_code,Population_Over_25,No_High_School_Diploma,High_School_Diploma,Some_College,Associates_Degree,Bachelors_Degree,Graduate_Professional_Degree
100,North Haven,ct0900954870,17368,5,30.55,16.56,6.82,22.29,18.78
101,North Stonington,ct0901155500,3747,5.07,35.84,21.38,7.45,16.36,13.9
102,Norwalk,ct0900156060,62227,12.66,22.58,16.65,7.01,24.33,16.77
103,Norwich,ct0901156270,27080,12.77,36.77,23.44,7.95,11.59,7.47
104,Old Lyme,ct0901157040,5764,3.87,18.88,16.41,6.59,26.35,27.9
105,Old Saybrook,ct0900757320,7742,5.77,26.39,16.53,8.72,24.81,17.77
106,Orange,ct0900957600,9892,4.13,19.16,12.45,6.73,26.68,30.84
107,Oxford,ct0900958300,8991,4.94,28.22,20.08,9.58,20.55,16.64
108,Plainfield,ct0901559980,10858,15.77,39.45,22.7,7.94,8.22,5.91
109,Plainville,ct0900360120,13191,10.08,33.27,18.83,9.2,16.99,11.63
110,Plymouth,ct0900560750,8541,8.48,40.3,17.86,9.4,14.69,9.27
111,Pomfret,ct0901561030,2837,5.75,24.29,17.84,8.04,24.43,19.67
112,Portland,ct0900761800,6899,6.17,28.03,15.18,12.28,20.89,17.45
113,Preston,ct0901162150,3429,5.86,35.14,25.69,10.47,13.79,9.04
114,Prospect,ct0900962290,7135,6.55,30.22,16.13,9.25,24.11,13.75
115,Putnam,ct0901562710,6851,7.93,32.17,22.89,12.95,15.72,8.35
116,Redding,ct0900163480,6483,1.22,13.37,12.93,5.82,35.29,31.37
117,Ridgefield,ct0900163970,16870,1.75,7.74,9.77,4.71,40.87,35.16
118,Rocky Hill,ct0900365370,15339,5.97,21.47,15.48,7.35,32.9,16.84
119,Roxbury,ct0900565930,1637,1.95,16.13,13.07,6.72,37.94,24.19
120,Salem,ct0901166210,2957,4.43,22.73,17.01,11.3,20.43,24.11
121,Salisbury,ct0900566420,2859,4.62,15.22,11.12,9.41,32.35,27.28
122,Scotland,ct0901567400,1166,5.23,29.33,27.7,8.49,19.47,9.78
123,Seymour,ct0900967610,11165,5.73,31.3,23.77,6.57,19.5,13.13
124,Sharon,ct0900567960,2379,3.36,24.76,12.4,10.63,25.14,23.71
125,Shelton,ct0900168170,29839,6.65,28.92,17.24,7.78,22.69,16.72
126,Sherman,ct0900168310,2604,1.65,21.7,17.82,11.1,26.57,21.16
127,Simsbury,ct0900368940,16931,3.12,10.54,12.95,6.49,35.83,31.08
128,Somers,ct0901369220,8366,10.89,30.33,18.58,8.59,18.68,12.93
129,South Windsor,ct0900371390,18088,4.22,22.42,14.88,8.66,27.65,22.17
130,Southbury,ct0900969640,14456,6,20.9,13.65,8.47,28.5,22.48
131,Southington,ct0900370550,31694,5.76,27.68,17.61,9.22,24.26,15.48
132,Sprague,ct0901171670,2144,9.33,39.93,21.41,9.19,12.73,7.42
133,Stafford,ct0901372090,7981,9.71,35.37,20.65,12.43,14.92,6.92
134,Stamford,ct0900173070,90915,11.3,21.11,14.64,5.34,26.16,21.45
135,Sterling,ct0901573420,2551,12.54,40.34,21.52,10.94,8.55,6.12
136,Stonington,ct0901173770,14049,5.69,24.58,13.59,8.1,25.39,22.65
137,Stratford,ct0900174190,38430,9.69,30.65,17.21,9.05,20.07,13.34
138,Suffield,ct0900374540,11112,8.9,25.8,17.4,8.01,21.56,18.32
139,Thomaston,ct0900575730,5500,7.55,37.2,19.35,10,16.55,9.36
140,Thompson,ct0901575870,6997,12.68,27.73,22.28,10.82,16.02,10.48
141,Tolland,ct0901376290,9834,2.32,23.64,19.63,9.24,25.23,19.94
142,Torrington,ct0900576570,26230,12.64,34.83,20,9.96,14.61,7.96
143,Trumbull,ct0900177200,24882,5.25,19.97,15.7,6.35,28.57,24.15
144,Union,ct0901377830,688,3.2,31.83,19.62,10.17,23.11,12.06
145,Vernon,ct0901378250,21437,6.44,31.05,19.17,8.81,21.35,13.17
146,Voluntown,ct0901178600,1900,5.42,40.11,24.26,11,11.58,7.63
147,Wallingford,ct0900978740,34366,6.7,32.98,14.33,9.5,21.7,14.79
148,Warren,ct0900579510,1145,4.1,25.41,19.3,5.85,24.98,20.35
149,Washington,ct0900579720,2645,3.52,13.42,18.83,6.88,34.4,22.95
150,Waterbury,ct0900980070,70296,20.9,36.18,19.7,7.35,9.9,5.97
151,Waterford,ct0901180280,14273,6.33,29.66,16.73,9.09,19.62,18.56
152,Watertown,ct0900580490,15702,8.15,28.74,18.38,12.53,18.55,13.65
153,West Hartford,ct0900382590,43785,5.67,14.31,11.92,5.58,29.25,33.27
154,West Haven,ct0900982870,36039,12.43,36.98,19.67,6.81,14.35,9.75
155,Westbrook,ct0900781680,5439,8.99,30.58,10.65,7.21,24.53,18.05
156,Weston,ct0900183430,6643,0.84,6.62,7.27,2.03,39.92,43.31
157,Westport,ct0900183500,18438,1.51,10.57,8.76,2.78,36.87,39.51
158,Wethersfield,ct0900384900,19055,7.55,26.02,17.81,6.96,23.76,17.9
159,Willington,ct0901385950,3868,7.42,29.5,22.26,8.63,17.45,14.74
160,Wilton,ct0900186370,11898,2.17,6.42,9.27,5.66,39.44,37.03
161,Winchester,ct0900586440,7961,11.19,37.06,18.3,9.19,14.33,9.92
162,Windham,ct0901586790,14176,17.97,35.36,20.87,6.21,10.91,8.69
163,Windsor,ct0900387000,20831,7.62,24.04,19.01,8.39,22.98,17.96
164,Windsor Locks,ct0900387070,9109,8.9,37.48,20.21,9.65,14.49,9.27
165,Wolcott,ct0900987560,11810,7.16,35.85,17.76,10.02,17.42,11.79
166,Woodbridge,ct0900987700,6241,4.05,10.8,13.06,4.21,27.62,40.25
167,Woodbury,ct0900587910,7308,5.71,19.87,19.05,7.46,22.55,25.37
168,Woodstock,ct0901588190,5661,4.06,22.61,22.15,10.14,25.93,15.1
